listing_type,city,city_score,has_city,budget,budget_normalized,has_budget,has_email,has_phone,has_address,profile_complete,docs_uploaded,docs_score,is_long_term,has_move_in_date,is_business_hour,fifo_position,fifo_score,converted
Rent,Hammamet,0.82,1,3359.0,0.6718,1,1,1,0,60,1,0.2,,0,0,18,0.996,1
Buy,Ben Arous,0.83,1,198883.0,0.13258866666666666,1,1,0,0,30,0,0.0,,1,0,19,0.996,0
Buy,Bizerte,0.75,1,499287.0,0.332858,1,1,1,1,100,4,0.8,,1,1,20,0.996,1
Rent,Monastir,0.8,1,,,0,1,1,1,100,5,1.0,,0,0,21,0.996,1
Buy,Tunis,1.0,1,761569.0,0.5077126666666667,1,1,1,0,60,4,0.8,,1,1,22,0.996,1
Buy,Bizerte,0.75,1,208093.0,0.13872866666666667,1,1,1,1,100,0,0.0,,1,1,23,0.995,0
Buy,Sfax,0.85,1,545723.0,0.3638153333333333,1,1,1,1,100,3,0.6,,1,0,24,0.995,1
Rent,Tunis,1.0,1,2472.0,0.4944,1,1,1,1,100,5,1.0,1.0,1,1,25,0.995,1
Rent,Sousse,0.9,1,2083.0,0.4166,1,1,1,1,100,5,1.0,0.0,1,1,26,0.995,1
Buy,Tunis,1.0,1,218005.0,0.14533666666666667,1,1,0,0,30,1,0.2,,1,1,27,0.995,0
Buy,Ben Arous,0.83,1,1348937.0,0.8992913333333333,1,1,1,1,100,2,0.4,,1,0,28,0.994,1
Rent,Monastir,0.8,1,1372.0,0.2744,1,1,1,1,100,0,0.0,,0,0,29,0.994,0
Buy,Sfax,0.85,1,1110917.0,0.7406113333333333,1,1,1,1,100,1,0.2,,1,0,30,0.994,1
Rent,Ariana,0.88,1,4633.0,0.9266,1,0,1,1,70,5,1.0,,0,0,31,0.994,1
Rent,Sfax,0.85,1,4832.0,0.9664,1,1,1,1,100,2,0.4,,0,0,32,0.994,1
Rent,Ariana,0.88,1,716.0,0.1432,1,1,1,1,100,0,0.0,0.0,1,1,33,0.993,0
Buy,Non précisée,0.2,0,946924.0,0.6312826666666667,1,1,1,1,100,5,1.0,,1,1,34,0.993,1
Buy,Nabeul,0.78,1,360575.0,0.24038333333333334,1,1,0,1,70,0,0.0,,1,0,35,0.993,0
Buy,Unknown,0.3,0,,,0,1,1,1,100,4,0.8,,1,0,36,0.993,0
Buy,Sousse,0.9,1,101980.0,0.06798666666666667,1,1,1,1,100,3,0.6,,1,0,37,0.993,1
Buy,Bizerte,0.75,1,276692.0,0.18446133333333334,1,1,0,1,70,1,0.2,,1,1,38,0.992,0
Rent,Bizerte,0.75,1,2164.0,0.4328,1,1,1,1,100,2,0.4,1.0,1,1,39,0.992,1
Rent,Unknown,0.3,0,4692.0,0.9384,1,1,0,1,70,2,0.4,,0,1,40,0.992,1
Buy,Sfax,0.85,1,774958.0,0.5166386666666667,1,1,1,1,100,4,0.8,,0,1,41,0.992,1
Buy,Bizerte,0.75,1,,,0,1,1,1,100,5,1.0,,1,0,42,0.992,1
Buy,Nabeul,0.78,1,1443007.0,0.9620046666666666,1,1,1,1,100,0,0.0,,1,1,43,0.991,1
Rent,Unknown,0.3,0,3596.0,0.7192,1,1,1,0,60,5,1.0,1.0,1,0,44,0.991,1
Rent,Hammamet,0.82,1,303.0,0.0606,1,1,1,1,100,4,0.8,1.0,1,1,45,0.991,1
Buy,Ariana,0.88,1,405868.0,0.2705786666666667,1,1,1,1,100,4,0.8,,1,0,46,0.991,1
Rent,Monastir,0.8,1,1507.0,0.3014,1,0,1,1,70,0,0.0,1.0,1,1,47,0.991,1
Buy,Non précisée,0.2,0,1086784.0,0.7245226666666666,1,1,1,1,100,0,0.0,,1,0,48,0.99,0
Buy,Non précisée,0.2,0,155315.0,0.10354333333333333,1,1,1,0,60,1,0.2,,1,0,49,0.99,0
Rent,La Marsa,0.95,1,4435.0,0.887,1,1,1,1,100,1,0.2,1.0,1,1,50,0.99,1
Buy,Unknown,0.3,0,1143244.0,0.7621626666666667,1,1,1,1,100,5,1.0,,0,1,51,0.99,1
Rent,Nabeul,0.78,1,960.0,0.192,1,1,1,1,100,5,1.0,,0,1,52,0.99,1
Rent,Nabeul,0.78,1,3706.0,0.7412,1,1,1,1,100,4,0.8,0.0,1,1,53,0.989,1
Rent,La Marsa,0.95,1,,,0,1,1,1,100,3,0.6,1.0,1,0,54,0.989,1
Buy,La Marsa,0.95,1,964014.0,0.642676,1,1,1,1,100,3,0.6,,1,1,55,0.989,1
Buy,Ben Arous,0.83,1,876320.0,0.5842133333333334,1,1,1,0,60,3,0.6,,0,1,56,0.989,1
Buy,Tunis,1.0,1,736508.0,0.49100533333333335,1,1,1,1,100,3,0.6,,0,1,57,0.989,1
Rent,Sfax,0.85,1,4718.0,0.9436,1,1,1,1,100,0,0.0,1.0,1,0,58,0.988,1
Buy,Monastir,0.8,1,1353035.0,0.9020233333333333,1,1,1,1,100,4,0.8,,1,1,59,0.988,1
Rent,Nabeul,0.78,1,1238.0,0.2476,1,1,1,1,100,4,0.8,,0,1,60,0.988,1
Rent,Hammamet,0.82,1,1924.0,0.3848,1,1,1,1,100,0,0.0,0.0,1,0,61,0.988,0
Buy,Ben Arous,0.83,1,778139.0,0.5187593333333334,1,1,1,0,60,5,1.0,,1,1,62,0.988,1
Rent,Sfax,0.85,1,3267.0,0.6534,1,1,1,1,100,3,0.6,,0,1,63,0.987,1
Rent,Ben Arous,0.83,1,4708.0,0.9416,1,1,1,1,100,4,0.8,,0,0,64,0.987,1
Buy,Bizerte,0.75,1,561418.0,0.37427866666666665,1,1,1,1,100,2,0.4,,0,1,65,0.987,1
Buy,La Marsa,0.95,1,591804.0,0.394536,1,1,1,1,100,2,0.4,,1,1,66,0.987,1
Buy,Sfax,0.85,1,902341.0,0.6015606666666666,1,1,1,1,100,5,1.0,,1,1,67,0.987,1
Buy,Sfax,0.85,1,898090.0,0.5987266666666666,1,1,1,1,100,3,0.6,,1,1,68,0.986,1
Rent,Non précisée,0.2,0,3182.0,0.6364,1,1,1,1,100,0,0.0,0.0,1,0,69,0.986,0
Buy,Monastir,0.8,1,1065438.0,0.710292,1,1,1,1,100,4,0.8,,0,0,70,0.986,1
Buy,Bizerte,0.75,1,426316.0,0.28421066666666667,1,1,1,0,60,0,0.0,,1,1,71,0.986,0
Rent,Non précisée,0.2,0,4321.0,0.8642,1,1,0,1,70,3,0.6,0.0,1,0,72,0.986,1
Rent,La Marsa,0.95,1,,,0,1,1,1,100,5,1.0,,0,0,73,0.985,1
Rent,Sfax,0.85,1,1270.0,0.254,1,1,1,1,100,4,0.8,,0,1,74,0.985,1
Rent,La Marsa,0.95,1,2735.0,0.547,1,1,1,1,100,4,0.8,,0,0,75,0.985,1
Buy,Monastir,0.8,1,605003.0,0.4033353333333333,1,1,1,0,60,0,0.0,,0,1,76,0.985,0
Rent,Non précisée,0.2,0,2685.0,0.537,1,0,1,1,70,3,0.6,,0,0,77,0.985,1
Rent,Unknown,0.3,0,1920.0,0.384,1,1,1,1,100,2,0.4,0.0,1,0,78,0.984,0
Rent,Ben Arous,0.83,1,4962.0,0.9924,1,1,1,1,100,2,0.4,1.0,1,1,79,0.984,1
Rent,La Marsa,0.95,1,,,0,0,1,1,70,2,0.4,,0,0,80,0.984,0
Buy,Unknown,0.3,0,1258477.0,0.8389846666666667,1,0,1,1,70,5,1.0,,1,1,81,0.984,1
Buy,Ben Arous,0.83,1,1081223.0,0.7208153333333334,1,1,1,1,100,2,0.4,,1,0,82,0.984,1
Rent,Hammamet,0.82,1,2661.0,0.5322,1,1,1,1,100,0,0.0,0.0,1,1,83,0.983,1
Buy,Hammamet,0.82,1,52413.0,0.034942,1,1,1,1,100,1,0.2,,1,0,84,0.983,0
Rent,Unknown,0.3,0,722.0,0.1444,1,1,1,1,100,3,0.6,1.0,1,0,85,0.983,1
Buy,Non précisée,0.2,0,1205193.0,0.803462,1,0,1,1,70,0,0.0,,1,0,86,0.983,0
Buy,La Marsa,0.95,1,662078.0,0.44138533333333335,1,1,1,1,100,3,0.6,,0,1,87,0.983,1
Buy,Hammamet,0.82,1,1306985.0,0.8713233333333333,1,1,1,1,100,2,0.4,,1,1,88,0.982,1
Rent,Ariana,0.88,1,321.0,0.0642,1,1,1,1,100,5,1.0,0.0,1,1,89,0.982,1
Rent,Nabeul,0.78,1,4751.0,0.9502,1,1,1,1,100,5,1.0,,0,1,90,0.982,1
Buy,Hammamet,0.82,1,,,0,1,1,1,100,3,0.6,,1,0,91,0.982,1
Buy,La Marsa,0.95,1,314757.0,0.209838,1,1,1,1,100,3,0.6,,0,1,92,0.982,1
Buy,Non précisée,0.2,0,,,0,1,1,0,60,2,0.4,,1,0,93,0.981,0
Rent,Unknown,0.3,0,,,0,1,1,1,100,2,0.4,1.0,1,1,94,0.981,1
Buy,Ben Arous,0.83,1,,,0,1,1,1,100,5,1.0,,0,0,95,0.981,1
Buy,La Marsa,0.95,1,678025.0,0.4520166666666667,1,1,0,1,70,2,0.4,,1,1,96,0.981,1
Buy,Monastir,0.8,1,1236837.0,0.824558,1,1,1,0,60,4,0.8,,1,0,97,0.981,1
Buy,La Marsa,0.95,1,350139.0,0.233426,1,1,1,1,100,5,1.0,,0,1,98,0.98,1
Rent,Unknown,0.3,0,905.0,0.181,1,1,1,1,100,5,1.0,1.0,1,1,99,0.98,1
Rent,Monastir,0.8,1,4258.0,0.8516,1,1,1,1,100,2,0.4,0.0,1,0,100,0.98,1
Rent,Bizerte,0.75,1,,,0,1,1,1,100,4,0.8,1.0,1,1,101,0.98,1
Buy,Ben Arous,0.83,1,509285.0,0.33952333333333334,1,1,1,1,100,5,1.0,,1,0,102,0.98,1
Buy,Unknown,0.3,0,,,0,1,0,1,70,0,0.0,,1,0,103,0.979,0
Buy,Sfax,0.85,1,735179.0,0.49011933333333335,1,1,1,0,60,4,0.8,,1,1,104,0.979,1
Rent,Sousse,0.9,1,4247.0,0.8494,1,1,1,1,100,0,0.0,0.0,1,0,105,0.979,1
Rent,Ariana,0.88,1,3532.0,0.7064,1,0,1,1,70,5,1.0,0.0,1,1,106,0.979,1
Rent,Sfax,0.85,1,4162.0,0.8324,1,0,1,1,70,4,0.8,,0,0,107,0.979,1
Rent,Non précisée,0.2,0,3644.0,0.7288,1,1,0,0,30,3,0.6,,0,0,108,0.978,1
Buy,Hammamet,0.82,1,1456111.0,0.9707406666666667,1,1,1,1,100,4,0.8,,1,0,109,0.978,1
Rent,Unknown,0.3,0,,,0,1,1,1,100,0,0.0,0.0,1,1,110,0.978,0
Buy,Nabeul,0.78,1,,,0,1,1,1,100,2,0.4,,0,1,111,0.978,1
Buy,Sfax,0.85,1,1003611.0,0.669074,1,1,1,1,100,0,0.0,,0,1,112,0.978,1
Buy,Sousse,0.9,1,480347.0,0.3202313333333333,1,1,1,1,100,1,0.2,,1,0,113,0.977,1
Rent,Sousse,0.9,1,323.0,0.0646,1,1,1,1,100,4,0.8,,0,0,114,0.977,1
Buy,Unknown,0.3,0,326411.0,0.21760733333333335,1,0,1,1,70,2,0.4,,0,1,115,0.977,0
Buy,Sousse,0.9,1,1153281.0,0.768854,1,1,0,1,70,2,0.4,,1,0,116,0.977,1
Rent,Ariana,0.88,1,655.0,0.131,1,1,1,1,100,2,0.4,1.0,1,0,117,0.977,1
Rent,Hammamet,0.82,1,1184.0,0.2368,1,1,1,0,60,0,0.0,0.0,1,0,118,0.976,0
Rent,Ben Arous,0.83,1,4792.0,0.9584,1,1,1,1,100,2,0.4,1.0,1,0,119,0.976,1
Buy,Unknown,0.3,0,1206233.0,0.8041553333333333,1,1,1,1,100,1,0.2,,1,1,120,0.976,1
Rent,Hammamet,0.82,1,2860.0,0.572,1,1,1,1,100,1,0.2,1.0,1,0,121,0.976,1
Buy,Sfax,0.85,1,831497.0,0.5543313333333333,1,1,1,1,100,4,0.8,,1,0,122,0.976,1
Buy,Hammamet,0.82,1,1445320.0,0.9635466666666667,1,1,1,1,100,0,0.0,,1,0,123,0.975,1
Rent,Nabeul,0.78,1,,,0,1,1,1,100,0,0.0,1.0,1,0,124,0.975,0
Rent,Ben Arous,0.83,1,3815.0,0.763,1,1,1,1,100,4,0.8,1.0,1,0,125,0.975,1
Rent,Tunis,1.0,1,2831.0,0.5662,1,1,1,0,60,1,0.2,1.0,1,0,126,0.975,1
Buy,Sfax,0.85,1,501166.0,0.33411066666666667,1,1,1,0,60,2,0.4,,1,1,127,0.975,0
Buy,Tunis,1.0,1,1345700.0,0.8971333333333333,1,0,0,1,40,3,0.6,,1,1,128,0.974,1
Rent,Bizerte,0.75,1,4497.0,0.8994,1,1,1,1,100,5,1.0,1.0,1,1,129,0.974,1
Buy,Monastir,0.8,1,1306875.0,0.87125,1,1,1,1,100,1,0.2,,1,1,130,0.974,1
Rent,Sfax,0.85,1,,,0,1,1,1,100,5,1.0,,0,1,131,0.974,1
Rent,Sfax,0.85,1,646.0,0.1292,1,1,1,0,60,2,0.4,1.0,1,0,132,0.974,1
Rent,Bizerte,0.75,1,,,0,0,1,1,70,4,0.8,1.0,1,1,133,0.973,1
Buy,Hammamet,0.82,1,560271.0,0.373514,1,1,1,0,60,2,0.4,,1,0,134,0.973,1
Rent,Sousse,0.9,1,,,0,1,1,0,60,2,0.4,1.0,1,0,135,0.973,1
Buy,Monastir,0.8,1,,,0,1,1,0,60,5,1.0,,0,0,136,0.973,1
Rent,La Marsa,0.95,1,3977.0,0.7954,1,1,1,1,100,4,0.8,1.0,1,1,137,0.973,1
Buy,La Marsa,0.95,1,,,0,1,1,1,100,0,0.0,,1,0,138,0.972,0
Rent,La Marsa,0.95,1,766.0,0.1532,1,1,1,1,100,0,0.0,1.0,1,1,139,0.972,1
Buy,La Marsa,0.95,1,1248850.0,0.8325666666666667,1,1,1,1,100,1,0.2,,1,1,140,0.972,1
Buy,Nabeul,0.78,1,226851.0,0.151234,1,1,1,1,100,3,0.6,,1,1,141,0.972,1
Buy,Nabeul,0.78,1,643270.0,0.42884666666666665,1,1,1,1,100,0,0.0,,1,0,142,0.972,1
Rent,Sfax,0.85,1,4870.0,0.974,1,1,1,1,100,5,1.0,1.0,1,0,143,0.971,1
Rent,Sfax,0.85,1,1458.0,0.2916,1,1,1,1,100,5,1.0,1.0,1,0,144,0.971,1
Rent,Ariana,0.88,1,2990.0,0.598,1,1,1,1,100,5,1.0,1.0,1,0,145,0.971,1
Rent,Ariana,0.88,1,3270.0,0.654,1,1,1,1,100,3,0.6,,0,0,146,0.971,1
Buy,Sfax,0.85,1,262107.0,0.174738,1,1,1,1,100,4,0.8,,0,1,147,0.971,1
Buy,Ben Arous,0.83,1,390257.0,0.2601713333333333,1,1,1,1,100,1,0.2,,1,0,148,0.97,0
Rent,Nabeul,0.78,1,2245.0,0.449,1,1,1,1,100,3,0.6,,0,0,149,0.97,1
Rent,La Marsa,0.95,1,1889.0,0.3778,1,1,1,1,100,3,0.6,1.0,1,1,150,0.97,1
Rent,Sousse,0.9,1,1433.0,0.2866,1,1,0,1,70,2,0.4,0.0,1,1,151,0.97,1
Buy,Bizerte,0.75,1,,,0,1,1,1,100,3,0.6,,0,0,152,0.97,1
Rent,Nabeul,0.78,1,3698.0,0.7396,1,1,1,1,100,0,0.0,0.0,1,0,153,0.969,1
Rent,Sousse,0.9,1,,,0,1,1,1,100,1,0.2,1.0,1,0,154,0.969,1
Buy,Sfax,0.85,1,,,0,1,1,1,100,4,0.8,,1,0,155,0.969,1
Rent,Monastir,0.8,1,691.0,0.1382,1,1,1,1,100,0,0.0,,0,1,156,0.969,0
Buy,Unknown,0.3,0,557381.0,0.3715873333333333,1,1,1,0,60,2,0.4,,0,1,157,0.969,1
Buy,Unknown,0.3,0,1147826.0,0.7652173333333333,1,1,0,1,70,4,0.8,,1,1,158,0.968,1
Buy,Hammamet,0.82,1,141298.0,0.09419866666666667,1,1,1,1,100,0,0.0,,1,0,159,0.968,0
Rent,Monastir,0.8,1,1149.0,0.2298,1,1,1,1,100,0,0.0,0.0,1,0,160,0.968,0
Buy,Unknown,0.3,0,1053552.0,0.702368,1,1,1,0,60,3,0.6,,0,0,161,0.968,0
Buy,Monastir,0.8,1,711852.0,0.474568,1,1,1,1,100,4,0.8,,1,0,162,0.968,1
Buy,Bizerte,0.75,1,150252.0,0.100168,1,1,1,0,60,2,0.4,,1,1,163,0.967,1
Rent,Hammamet,0.82,1,1830.0,0.366,1,1,1,1,100,4,0.8,,0,0,164,0.967,1
Rent,Sfax,0.85,1,1778.0,0.3556,1,1,1,0,60,5,1.0,,0,1,165,0.967,1
Rent,Sousse,0.9,1,3179.0,0.6358,1,1,1,1,100,4,0.8,0.0,1,0,166,0.967,1
Buy,Unknown,0.3,0,811918.0,0.5412786666666667,1,1,1,0,60,0,0.0,,0,0,167,0.967,0
Rent,Tunis,1.0,1,,,0,1,1,1,100,4,0.8,,0,0,168,0.966,1
Rent,Nabeul,0.78,1,929.0,0.1858,1,1,1,1,100,5,1.0,,0,0,169,0.966,1
Buy,Non précisée,0.2,0,1135790.0,0.7571933333333334,1,1,1,1,100,2,0.4,,1,0,170,0.966,1
Rent,Non précisée,0.2,0,4323.0,0.8646,1,1,1,0,60,1,0.2,1.0,1,0,171,0.966,1
Rent,Unknown,0.3,0,831.0,0.1662,1,1,1,1,100,1,0.2,1.0,1,0,172,0.966,0
Buy,Nabeul,0.78,1,304515.0,0.20301,1,1,1,1,100,3,0.6,,0,1,173,0.965,1
Rent,La Marsa,0.95,1,4819.0,0.9638,1,1,1,0,60,3,0.6,1.0,1,1,174,0.965,1
Rent,Hammamet,0.82,1,904.0,0.1808,1,1,1,0,60,3,0.6,0.0,1,1,175,0.965,1
Buy,Sousse,0.9,1,166209.0,0.110806,1,1,1,1,100,1,0.2,,1,0,176,0.965,0
Buy,Nabeul,0.78,1,1138207.0,0.7588046666666667,1,1,1,1,100,5,1.0,,1,1,177,0.965,1
Buy,Unknown,0.3,0,1168784.0,0.7791893333333333,1,1,1,1,100,4,0.8,,0,0,178,0.964,1
Rent,Ben Arous,0.83,1,,,0,1,0,1,70,4,0.8,,0,0,179,0.964,1
Rent,Ben Arous,0.83,1,4379.0,0.8758,1,1,1,1,100,2,0.4,1.0,1,0,180,0.964,1
Rent,Bizerte,0.75,1,790.0,0.158,1,1,1,1,100,2,0.4,0.0,1,0,181,0.964,1
Rent,Non précisée,0.2,0,3129.0,0.6258,1,1,1,1,100,4,0.8,,0,0,182,0.964,1
Rent,Sfax,0.85,1,2330.0,0.466,1,1,0,1,70,4,0.8,1.0,1,0,183,0.963,1
Rent,Ben Arous,0.83,1,1855.0,0.371,1,1,1,1,100,3,0.6,1.0,1,0,184,0.963,1
Rent,Ariana,0.88,1,2272.0,0.4544,1,1,1,0,60,3,0.6,1.0,1,0,185,0.963,1
Rent,Bizerte,0.75,1,1180.0,0.236,1,1,1,1,100,3,0.6,1.0,1,1,186,0.963,1
Buy,Nabeul,0.78,1,204207.0,0.136138,1,1,1,1,100,4,0.8,,1,0,187,0.963,1
Buy,Sfax,0.85,1,761113.0,0.5074086666666666,1,1,1,0,60,4,0.8,,1,1,188,0.962,1
Buy,Tunis,1.0,1,,,0,1,1,1,100,1,0.2,,1,1,189,0.962,1
Buy,Nabeul,0.78,1,718005.0,0.47867,1,1,1,1,100,2,0.4,,1,1,190,0.962,1
Rent,Non précisée,0.2,0,4190.0,0.838,1,1,1,1,100,3,0.6,1.0,1,0,191,0.962,1
Buy,Ben Arous,0.83,1,1424873.0,0.9499153333333333,1,1,1,1,100,5,1.0,,0,1,192,0.962,1
Buy,Ariana,0.88,1,1349680.0,0.8997866666666666,1,1,1,1,100,1,0.2,,0,0,193,0.961,1
Buy,Monastir,0.8,1,,,0,1,1,1,100,3,0.6,,1,0,194,0.961,1
Rent,Non précisée,0.2,0,1431.0,0.2862,1,1,1,1,100,3,0.6,0.0,1,0,195,0.961,0
Rent,Ariana,0.88,1,3202.0,0.6404,1,1,1,1,100,5,1.0,,0,1,196,0.961,1
Buy,Monastir,0.8,1,675998.0,0.4506653333333333,1,1,1,1,100,2,0.4,,1,0,197,0.961,1
Rent,Nabeul,0.78,1,4891.0,0.9782,1,1,1,1,100,0,0.0,1.0,1,1,198,0.96,1
Rent,Sousse,0.9,1,2656.0,0.5312,1,1,0,1,70,5,1.0,,0,1,199,0.96,1
Buy,Monastir,0.8,1,618606.0,0.412404,1,1,1,0,60,4,0.8,,1,0,200,0.96,1
Buy,Tunis,1.0,1,1163674.0,0.7757826666666666,1,1,1,0,60,2,0.4,,1,0,201,0.96,1
Buy,Tunis,1.0,1,381226.0,0.2541506666666667,1,1,1,1,100,3,0.6,,1,1,202,0.96,1
Rent,Bizerte,0.75,1,1032.0,0.2064,1,1,1,1,100,0,0.0,0.0,1,0,203,0.959,0
Buy,Hammamet,0.82,1,440723.0,0.2938153333333333,1,1,1,1,100,0,0.0,,0,1,204,0.959,1
Buy,Nabeul,0.78,1,1394929.0,0.9299526666666666,1,1,1,1,100,4,0.8,,1,0,205,0.959,1
Buy,Nabeul,0.78,1,1012413.0,0.674942,1,1,1,0,60,2,0.4,,1,1,206,0.959,1
Buy,Sousse,0.9,1,1389505.0,0.9263366666666667,1,1,1,1,100,0,0.0,,1,0,207,0.959,1
Buy,Sousse,0.9,1,570192.0,0.380128,1,0,1,1,70,2,0.4,,1,1,208,0.958,1
Buy,Bizerte,0.75,1,545562.0,0.363708,1,1,1,1,100,3,0.6,,1,0,209,0.958,1
Rent,Non précisée,0.2,0,,,0,1,1,1,100,1,0.2,1.0,1,1,210,0.958,1
Rent,Hammamet,0.82,1,4157.0,0.8314,1,1,1,1,100,1,0.2,1.0,1,0,211,0.958,1
Rent,Ariana,0.88,1,939.0,0.1878,1,1,1,1,100,4,0.8,,0,1,212,0.958,1
Buy,Sousse,0.9,1,1141235.0,0.7608233333333333,1,1,1,1,100,3,0.6,,0,1,213,0.957,1
Rent,Tunis,1.0,1,4504.0,0.9008,1,1,1,1,100,5,1.0,1.0,1,1,214,0.957,1
Rent,Tunis,1.0,1,898.0,0.1796,1,0,1,0,30,0,0.0,0.0,1,1,215,0.957,0
Buy,Bizerte,0.75,1,334014.0,0.222676,1,1,1,1,100,3,0.6,,1,1,216,0.957,1
Rent,Hammamet,0.82,1,4717.0,0.9434,1,1,1,0,60,4,0.8,0.0,1,0,217,0.957,1
Buy,Tunis,1.0,1,1020989.0,0.6806593333333333,1,1,1,1,100,1,0.2,,0,1,218,0.956,1
Buy,Bizerte,0.75,1,286652.0,0.19110133333333335,1,0,1,1,70,0,0.0,,0,0,219,0.956,0
Buy,Ben Arous,0.83,1,,,0,1,1,0,60,5,1.0,,0,1,220,0.956,1
Buy,Ariana,0.88,1,168371.0,0.11224733333333334,1,1,1,1,100,5,1.0,,1,1,221,0.956,1
Rent,Monastir,0.8,1,1473.0,0.2946,1,1,1,1,100,2,0.4,,0,1,222,0.956,1
Buy,Unknown,0.3,0,1215703.0,0.8104686666666666,1,1,1,1,100,5,1.0,,1,1,223,0.955,1
Rent,Non précisée,0.2,0,1522.0,0.3044,1,1,1,1,100,1,0.2,0.0,1,0,224,0.955,0
Buy,La Marsa,0.95,1,1229408.0,0.8196053333333333,1,1,1,1,100,3,0.6,,0,0,225,0.955,1
Rent,Unknown,0.3,0,,,0,1,1,1,100,1,0.2,,0,1,226,0.955,1
Buy,Sfax,0.85,1,1282252.0,0.8548346666666666,1,1,1,1,100,2,0.4,,1,0,227,0.955,1
Buy,Monastir,0.8,1,296029.0,0.19735266666666668,1,1,1,1,100,5,1.0,,1,0,228,0.954,1
Rent,Monastir,0.8,1,2618.0,0.5236,1,1,1,1,100,2,0.4,1.0,1,1,229,0.954,1
Buy,Non précisée,0.2,0,721577.0,0.48105133333333333,1,1,1,1,100,4,0.8,,1,0,230,0.954,1
Buy,Tunis,1.0,1,1274803.0,0.8498686666666667,1,1,1,0,60,2,0.4,,0,1,231,0.954,1
Buy,La Marsa,0.95,1,1486227.0,0.990818,1,1,1,1,100,5,1.0,,1,1,232,0.954,1
Rent,Sousse,0.9,1,3185.0,0.637,1,1,1,1,100,4,0.8,1.0,1,1,233,0.953,1
Buy,Sfax,0.85,1,1451349.0,0.967566,1,0,0,0,0,5,1.0,,0,0,234,0.953,1
Buy,Tunis,1.0,1,1006321.0,0.6708806666666667,1,1,1,1,100,4,0.8,,1,0,235,0.953,1
Rent,Tunis,1.0,1,,,0,1,0,1,70,2,0.4,0.0,1,1,236,0.953,1
Rent,Sousse,0.9,1,,,0,1,1,0,60,4,0.8,,0,1,237,0.953,1
Rent,Hammamet,0.82,1,,,0,1,1,1,100,5,1.0,,0,0,238,0.952,1
Buy,Unknown,0.3,0,1412927.0,0.9419513333333334,1,1,0,1,70,4,0.8,,1,0,239,0.952,1
Buy,Non précisée,0.2,0,1098279.0,0.732186,1,1,1,1,100,0,0.0,,1,0,240,0.952,0
Buy,Monastir,0.8,1,1238632.0,0.8257546666666666,1,1,0,0,30,2,0.4,,1,1,241,0.952,1
Buy,Sousse,0.9,1,709522.0,0.4730146666666667,1,0,1,0,30,5,1.0,,1,0,242,0.952,1
Rent,Sousse,0.9,1,4942.0,0.9884,1,1,1,1,100,2,0.4,1.0,1,0,243,0.951,1
Buy,Ariana,0.88,1,775319.0,0.5168793333333334,1,1,1,1,100,2,0.4,,1,0,244,0.951,1
Rent,Nabeul,0.78,1,,,0,1,1,1,100,2,0.4,0.0,1,0,245,0.951,0
Rent,Sfax,0.85,1,2719.0,0.5438,1,1,1,0,60,1,0.2,1.0,1,0,246,0.951,1
Rent,Nabeul,0.78,1,1049.0,0.2098,1,0,1,1,70,2,0.4,,0,0,247,0.951,0
